Lng,Lat
-79.087166497032499,43.085808964061236 
-79.090725414640275,43.085116533849487 
-79.087781357122452,43.084655348787926 
-79.110326918200272,43.091331379624336 
-79.128520235505817,43.12869388701759 
-79.100414633505409,43.127545089290834 
-79.099073696360463,43.12348905344156 
-79.101742554327643,43.117313194134688 
-79.112644112181897,43.116348030192022 
-79.11157998450247,43.116533244969183 
-79.106400225901567,43.11579460849098 
-79.06180176199905,43.111468296571637 
-79.111988204496697,43.109723340348474 
-79.106496270476057,43.107723590521459 
-79.08847695246439,43.104785918620216 
-79.07374985368584,43.106634500218135 
-79.061602913517078,43.104968128899046 
-79.07400799523613,43.100179692903232 
-79.09136803228175,43.098180856886366 
-79.074323769373507,43.095363484771092 
-79.073273508218463,43.095084666424086 
-79.121020548855327,43.095166804906945 
-79.109008583704892,43.094033137305146 
-79.083351464966995,43.091622593261029 
-79.095230271644169,43.089747966488702 
-79.159664001549842,43.07055940021916 
-79.096102118510359,43.089069125405686 
-79.09065770445568,43.089099944183992 
-79.082218068809254,43.089368475618272 
-79.125393151234931,43.086108608371532 
-79.109488091045719,43.080070398124406 
-79.109248912223975,43.076788759871562 
-79.106987647456862,43.073707797167444 
-79.09774284084726,43.071328924133638 
-79.057503507068802,43.0622888166439 
-79.049134016172914,43.05808979160301 
-79.106787452773673,43.032358766499648 
-79.113916400997951,43.136768854927695 
-79.135893929776017,43.098972214332562 
-79.104359357026183,43.086920581930897 
-79.164416693255546,43.095621436500082 
-79.082200418515882,43.074797931591362 
-79.082728545210188,43.072808537631069 
-79.113554267299065,43.070709669804387 
-79.088448449773651,43.087536286568351 
-79.083194449208577,43.094906862193604 
-79.076709415459391,43.105577635547519 
-79.074481536721152,43.103339703444895 
-79.058803898421473,43.052266196235685 
-79.053378015301348,43.056446702614984 
-79.124536855208973,43.081299898002726 
-79.106165305511269,43.071928920094734 
-79.093315201802184,43.129973656503672 
-79.079909555883461,43.093062756600077 
-79.094091152405426,43.098737611979971 
